x	I^2(x)
1.145	.4020904813
1.146	.4021543142
1.147	.4022180098
1.148	.4022815701
1.149	.4023449926
1.150	.4024082805
1.151	.4024714315
1.152	.4025344473
1.153	.4025973304
1.154	.4026600763
1.155	.4027226892
1.156	.4027851685
1.157	.4028475145
1.158	.4029097270
1.159	.4029718070
1.160	.4030337541
1.161	.4030955698
1.162	.4031572541
1.163	.4032188066
1.164	.4032802282
1.165	.4033415205
1.166	.4034026814
1.167	.4034637124
1.168	.4035246138
1.169	.4035853867
1.170	.4036460308
1.171	.4037065457
1.172	.4037669332
1.173	.4038271923
1.174	.4038873231
1.175	.4039473279
1.176	.4040072057
1.177	.4040669572
1.178	.4041265835
1.179	.4041860821
1.180	.4042454563
1.181	.4043047064
1.182	.4043638296
1.183	.4044228302
1.184	.4044817059
1.185	.4045404576
1.186	.4045990861
1.187	.4046575921
1.188	.4047159742
1.189	.4047742351
1.190	.4048323733
1.191	.4048903889
1.192	.4049482842
1.193	.4050060578
1.194	.4050637105
1.195	.4051212424
1.196	.4051786551
1.197	.4052359467
1.198	.4052931189
1.199	.4053501723
1.200	.4054071073
1.201	.4054639223
1.202	.4055206208
1.203	.4055771999
1.204	.4056336611
1.205	.4056900053
1.206	.4057462323
1.207	.4058023438
1.208	.4058583373
1.209	.4059142150
1.210	.4059699768
1.211	.4060256244
1.212	.4060811555
1.213	.4061365711
1.214	.4061918722
1.215	.4062470602
1.216	.4063021338
1.217	.4063570928
1.218	.4064119389
1.219	.4064666725
1.220	.4065212920
1.221	.4065757992
1.222	.4066301951
1.223	.4066844786
1.224	.4067386494
1.225	.4067927097
1.226	.4068466582
1.227	.4069004981
1.228	.4069542256
1.229	.4070078429
1.230	.4070613505
1.231	.4071147495
1.232	.4071680370
1.233	.4072212172
1.234	.4072742878
1.235	.4073272502
1.236	.4073801038
1.237	.4074328503
1.238	.4074854889
1.239	.4075380201
1.240	.4075904438
1.241	.4076427608
1.242	.4076949712
1.243	.4077470750
1.244	.4077990733
1.245	.4078509653
1.246	.4079027533
1.247	.4079544345
1.248	.4080060114
1.249	.4080574833
1.250	.4081088514
1.251	.4081601150
1.252	.4082112747
1.253	.4082623312
1.254	.4083132839
1.255	.4083641339
1.256	.4084148809
1.257	.4084655248
1.258	.4085160681
1.259	.4085665081
1.260	.4086168473
1.261	.4086670835
1.262	.4087172201
1.263	.4087672548
1.264	.4088171892
1.265	.4088670231
1.266	.4089167566
1.267	.4089663900
1.268	.4090159243
1.269	.4090653590
1.270	.4091146951
1.271	.4091639313
1.272	.4092130692
1.273	.4092621088
1.274	.4093110500
1.275	.4093598941
1.276	.4094086389
1.277	.4094572883
1.278	.4095058395
1.279	.4095542938
1.280	.4096026513
1.281	.4096509131
1.282	.4096990785
1.283	.4097471477
1.284	.4097951219
1.285	.4098429996
1.286	.4098907823
1.287	.4099384702
1.288	.4099860642
1.289	.4100335624
1.290	.4100809671
1.291	.4101282777
1.292	.4101754943
1.293	.4102226177
1.294	.4102696477
1.295	.4103165842
1.296	.4103634284
1.297	.4104101793
1.298	.4104568393
1.299	.4105034074
1.300	.4105498813
1.301	.4105962652
1.302	.4106425572
1.303	.4106887583
1.304	.4107348682
1.305	.4107808873
1.306	.4108268163
1.307	.4108726545
1.308	.4109184031
1.309	.4109640618
1.310	.4110096311
1.311	.4110551097
1.312	.4111005008
1.313	.4111458013
1.314	.4111910145
1.315	.4112361399
1.316	.4112811748
1.317	.4113261233
1.318	.4113709838
1.319	.4114157558
1.320	.4114604417
1.321	.4115050391
1.322	.4115495504
1.323	.4115939742
1.324	.4116383127
1.325	.4116825638
1.326	.4117267291
1.327	.4117708081
1.328	.4118148028
1.329	.4118587112
1.330	.4119025338
1.331	.4119462728
1.332	.4119899251
1.333	.4120334943
1.334	.4120769784
1.335	.4121203787
1.336	.4121636954
1.337	.4122069269
1.338	.4122500756
1.339	.4122931419
1.340	.4123361237
1.341	.4123790231
1.342	.4124218394
1.343	.4124645737
1.344	.4125072254
1.345	.4125497951
1.346	.4125922828
1.347	.4126346883
1.348	.4126770126
1.349	.4127192562
1.350	.4127614182
1.351	.4128034997
1.352	.4128454996
1.353	.4128874191
1.354	.4129292595
1.355	.4129710185
1.356	.4130126974
1.357	.4130542973
1.358	.4130958176
1.359	.4131372579
1.360	.4131786202
1.361	.4132199020
1.362	.4132611060
1.363	.4133022314
1.364	.4133432780
1.365	.4133842472
1.366	.4134251376
1.367	.4134659509
1.368	.4135066862
1.369	.4135473442
1.370	.4135879246
1.371	.4136284275
1.372	.4136688548
1.373	.4137092048
1.374	.4137494783
1.375	.4137896750
1.376	.4138297966
1.377	.4138698415
1.378	.4139098108
1.379	.4139497045
1.380	.4139895224
1.381	.4140292658
1.382	.4140689348
1.383	.4141085276
1.384	.4141480455
1.385	.4141874896
1.386	.4142268604
1.387	.4142661559
1.388	.4143053776
1.389	.4143445255
1.390	.4143836004
1.391	.4144226011
1.392	.4144615293
1.393	.4145003838
1.394	.4145391661
1.395	.4145778740
1.396	.4146165111
1.397	.4146550759
1.398	.4146935677
1.399	.4147319878
1.400	.4147703357
1.401	.4148086122
1.402	.4148468178
1.403	.4148849518
1.404	.4149230137
1.405	.4149610056
1.406	.4149989259
1.407	.4150367764
1.408	.4150745569
1.409	.4151122657
1.410	.4151499044
1.411	.4151874741
1.412	.4152249737
1.413	.4152624035
1.414	.4152997645
1.415	.4153370558
1.416	.4153742771
1.417	.4154114303
1.418	.4154485142
1.419	.4154855297
1.420	.4155224763
1.421	.4155593552
1.422	.4155961666
1.423	.4156329086
1.424	.4156695832
1.425	.4157061912
1.426	.4157427308
1.427	.4157792027
1.428	.4158156080
